AFp1,AFp2,C3,C4,P7,P8,O1,O2,timestamp
42737.586,42188.09,-37604.22,-39823.77,-39194.074,53515.26,52609.793,52327.38,10396.752942513001
42784.414,42250.81,-38155.098,-40296.105,-39733.938,53505.004,52607.535,52321.992,10396.756965879966
42847.223,42285.387,-38213.258,-40469.754,-40010.383,53497.09,52606.64,52317.92,10396.76098924693
42828.246,42226.668,-37815.64,-39823.05,-39432.41,53502.543,52603.957,52316.45,10396.765012613894
42760.652,42162.273,-37210.83,-39214.258,-38976.504,53509.72,52594.863,52311.82,10396.769035980858
42734.08,42175.82,-37422.832,-39893.816,-39123.285,53501.492,52581.92,52300.38,10396.773059347823
42785.33,42214.4,-38049.688,-40710.37,-39654.098,53491.12,52578.77,52294.188,10396.777082714787
42853.95,42103.332,-38142.27,-40914.6,-39953.88,53482.113,52577.16,52289.535,10396.781106081751
42839.11,42170.68,-37767.562,-40329.832,-39407.176,53491.258,52578.836,52292.375,10396.785129448715
42770.824,42178.168,-37219.074,-39678.504,-38965.46,53496.89,52568.04,52286.34,10396.78915281568
42745.79,42186.86,-37529.004,-39750.477,-39137.39,53489.758,52556.84,52276.55,10396.793176182644
42795.566,42152.684,-38100.203,-40217.426,-39679.91,53479.207,52554.383,52271.477,10396.797199549608
42864.41,42035.785,-38198.906,-40432.99,-40008.527,53473.49,52556.28,52270.402,10396.801222916572
42861.234,41998.457,-37859.875,-39851.26,-39473.047,53482.047,52558.76,52273.555,10396.805246283537
42807.145,42079.93,-37299.875,-39221.633,-39002.14,53484.906,52549.465,52268.125,10396.809269650501
42786.78,42042.0,-37522.008,-39865.43,-39147.984,53480.28,52542.895,52261.867,10396.813293017465
42839.332,42024.656,-38087.418,-40719.223,-39725.58,53471.25,52543.23,52258.355,10396.81731638443
42911.414,42071.19,-38188.76,-40955.527,-40066.664,53463.85,52544.703,52256.39,10396.821339751394
42906.5,42030.62,-37856.12,-40402.656,-39529.773,53473.4,52548.684,52261.105,10396.825363118358
42846.773,41976.31,-37374.105,-39799.67,-39010.633,53477.4,52542.2,52258.355,10396.829386485322
42819.414,41989.34,-37705.74,-39914.54,-39153.887,53474.402,52536.95,52253.594,10396.833409852286
42874.29,42062.094,-38182.3,-40418.703,-39751.215,53466.2,52538.312,52251.336,10396.83743321925
42941.344,42106.016,-38308.027,-40658.965,-40110.832,53457.84,52539.965,52249.28,10396.841456586215
42932.785,42062.875,-37958.38,-40114.387,-39576.824,53467.207,52544.504,52254.152,10396.84547995318
42868.945,42004.94,-37494.918,-39504.43,-39015.35,53471.43,52539.07,52252.41,10396.849503320143
42839.49,42015.492,-37806.41,-39607.984,-39142.977,53468.523,52533.82,52247.96,10396.853526687108
42887.297,42078.86,-38259.703,-40116.508,-39745.47,53459.965,52534.445,52245.414,10396.857550054072
42958.043,42123.047,-38391.58,-40360.145,-40110.453,53454.777,52539.7,52246.91,10396.861573421036
42951.18,42077.113,-38016.695,-39779.957,-39579.04,53463.273,52543.723,52251.516,10396.865596788
42885.71,42015.402,-37483.63,-39173.133,-39016.223,53467.297,52537.215,52248.88,10396.869620154965
42859.27,42027.984,-37694.695,-39863.176,-39131.957,53461.977,52528.88,52241.973,10396.873643521929
42904.465,42095.668,-38162.562,-40704.227,-39722.56,53452.297,52528.03,52238.44,10396.877666888893
42978.67,42144.797,-38302.33,-40960.89,-40090.914,53444.99,52530.62,52237.57,10396.881690255857
42970.535,42097.68,-37973.29,-40421.766,-39566.543,53452.05,52532.633,52240.027,10396.885713622822
42901.938,42031.918,-37490.65,-39802.51,-39010.566,53457.707,52527.76,52239.492,10396.889736989786
42872.344,42040.637,-37791.19,-39899.832,-39139.69,53454.668,52521.793,52234.574,10396.89376035675
42915.707,42105.457,-38242.492,-40405.562,-39737.734,53446.664,52522.598,52232.81,10396.897783723716
42984.887,42152.91,-38379.375,-40652.035,-40106.965,53441.344,52527.63,52234.93,10396.90180709068
42978.336,42108.54,-38028.184,-40122.59,-39590.707,53448.297,52531.004,52238.395,10396.905830457645
42910.008,42040.145,-37561.883,-39502.035,-39017.742,53452.098,52525.234,52236.004,10396.909853824609
42873.395,42044.727,-37835.69,-39593.387,-39135.266,53448.43,52519.2,52230.55,10396.913877191573
42920.223,42110.484,-38241.22,-40094.47,-39729.266,53440.094,52520.14,52228.72,10396.917900558537
42992.91,42161.113,-38394.64,-40357.617,-40112.195,53434.617,52524.902,52230.125,10396.921923925502
42984.26,42114.22,-38010.414,-39809.62,-39604.965,53443.78,52529.66,52235.938,10396.925947292466
42924.582,42053.465,-37496.953,-39181.625,-39024.516,53448.004,52523.805,52234.082,10396.92997065943
