Routine,Problem ID,Stimuli,Idea generation/Reaction time,Additional info/Feedback question,Total/Feedback answer,timestamp
Feedback answer,5,Far,,relevant,4,274091.03234635683
Feedback,5,Far,,,,274091.06031295675
Feedback answer,5,Far,,novelty,5,274094.99291104445
Feedback,5,Far,,,,274095.0239223443
Feedback answer,5,Far,,quality,3,274096.4435714399
One-back initialize,5,Far,,,,274096.4458400398
One-back reaction time,5,Far,0.9054975666804239,,,274107.33357490564
One-back reaction time,5,Far,0.5730179667007178,,,274108.1493149031
One-back reaction time,5,Far,0.5405588666326366,,,274110.9302579944
One-back reaction time,5,Far,0.4876423666719347,,,274113.66105498583
One-back reaction time,5,Far,0.5543366667116061,,,274124.4696097519
Problem statement,6,Cntrl,,,,274126.1937723465
Crosshair,6,Cntrl,,,,274133.19702452444
Wordset 1,6,Cntrl,,,,274134.09803872166
Idea generated,6,Cntrl,3.587183933297638,,,274137.68721071037
Idea generated,6,Cntrl,10.823807733308058,,,274144.9238185877
Idea generated,6,Cntrl,24.051961733261123,,,274158.15196064615
Idea generated,6,Cntrl,27.766066933283582,,,274161.8660898345
Idea generated,6,Cntrl,42.38870513328584,,,274176.4886769886
Idea generated,6,Cntrl,48.68570063327206,,,274182.7856903688
Idea generated,6,Cntrl,52.333322833292186,,,274186.43334135733
Wordset 1,6,Cntrl,,Total ideas generated,7,274194.1035529333
One-back initialize,6,Cntrl,,,,274194.1035954333
One-back reaction time,6,Cntrl,0.7067045666626655,,,274206.80389779346
One-back reaction time,6,Cntrl,0.5390012666466646,,,274211.58107907843
One-back reaction time,6,Cntrl,0.46052976668579504,,,274212.2829256762
One-back reaction time,6,Cntrl,0.47421666665468365,,,274212.999077674
One-back reaction time,6,Cntrl,0.5416631666012108,,,274223.80691004003
Wordset 2,6,Cntrl,,,,274223.8617919399
Idea generated,6,Cntrl,9.724224033299834,,,274233.60347590933
Idea generated,6,Cntrl,11.984684333321638,,,274235.86391270225
Idea generated,6,Cntrl,21.943185633339453,,,274245.82239247096
Idea generated,6,Cntrl,27.799677633331157,,,274251.6789655526
Idea generated,6,Cntrl,31.190145833301358,,,274255.06939024193
Idea generated,6,Cntrl,33.07358233333798,,,274256.95281753596
Idea generated,6,Cntrl,59.67035193333868,,,274283.5495841525
