AFp1,AFp2,C3,C4,P7,P8,O1,O2,timestamp
44191.543,43677.23,32486.785,-30356.553,57187.79,45057.61,44374.16,45488.883,11421.221836603905
44208.734,43711.383,31716.701,-31460.191,57180.367,45044.26,44373.598,45483.477,11421.225829972225
44260.77,43774.46,30916.441,-32909.12,57145.5,45025.31,44392.49,45483.812,11421.229823340547
44279.207,43783.805,31098.072,-32879.64,57129.965,45024.64,44403.953,45487.723,11421.23381670887
44234.504,43721.91,32102.336,-31293.36,57163.066,45045.56,44392.555,45490.83,11421.237810077191
44189.242,43675.44,32491.346,-30364.555,57200.887,45058.01,44372.324,45486.984,11421.241803445513
44202.965,43706.11,31715.225,-31466.629,57190.18,45041.246,44368.324,45477.664,11421.245796813835
44253.75,43767.844,30904.035,-32904.094,57153.434,45020.594,44385.74,45476.816,11421.249790182157
44271.453,43776.25,31078.402,-32880.355,57135.953,45018.156,44396.11,45479.496,11421.253783550479
44227.062,43714.715,32081.996,-31301.293,57168.496,45038.652,44384.977,45482.848,11421.257776918801
44185.91,43672.203,32480.504,-30366.879,57210.496,45055.215,44369.016,45483.363,11421.261770287123
44202.945,43705.797,31720.098,-31455.81,57203.566,45041.805,44368.613,45477.754,11421.265763655445
44251.246,43764.918,30910.428,-32908.99,57164.25,45018.336,44383.254,45473.953,11421.269757023767
44268.746,43773.277,31076.01,-32898.93,57145.832,45014.582,44392.332,45475.742,11421.273750392089
44225.562,43713.082,32072.496,-31322.215,57179.137,45035.793,44381.38,45479.742,11421.27774376041
44179.316,43664.98,32473.195,-30360.91,57216.867,45047.996,44360.86,45475.473,11421.281737128733
44197.086,43699.09,31716.545,-31438.287,57211.39,45036.375,44362.51,45471.652,11421.285730497055
44248.25,43761.23,30904.215,-32894.727,57174.668,45015.543,44380.035,45470.555,11421.289723865375
44265.035,43769.188,31066.041,-32900.336,57154.84,45011.027,44388.777,45471.094,11421.293717233697
44221.9,43708.746,32067.355,-31336.676,57187.79,45032.46,44378.785,45475.316,11421.297710602019
44177.395,43662.86,32481.734,-30365.404,57227.797,45047.125,44360.254,45473.887,11421.30170397034
44191.344,43693.48,31734.135,-31422.752,57219.816,45032.508,44357.953,45466.645,11421.305697338663
44242.082,43755.395,30917.38,-32877.67,57183.695,45012.01,44375.23,45465.973,11421.309690706985
44265.105,43769.723,31062.531,-32897.59,57169.414,45013.016,44389.535,45472.746,11421.313684075307
44221.16,43708.637,32059.822,-31340.096,57200.55,45032.844,44378.07,45475.562,11421.317677443629
44172.41,43658.188,32490.227,-30352.752,57236.805,45043.37,44354.69,45469.258,11421.32167081195
44187.254,43689.57,31741.512,-31405.922,57230.367,45030.004,44353.15,45463.293,11421.325664180273
44237.992,43751.617,30921.537,-32865.74,57194.07,45008.902,44370.805,45462.58,11421.329657548595
44256.434,43761.387,31065.146,-32895.98,57174.285,45004.297,44380.215,45463.984,11421.333650916917
44213.63,43701.258,32058.168,-31349.53,57205.58,45023.902,44369.016,45466.824,11421.337644285239
44164.477,43650.027,32489.467,-30365.45,57241.902,45034.027,44345.816,45460.387,11421.34163765356
44178.38,43680.582,31748.06,-31410.504,57235.062,45019.742,44343.38,45453.48,11421.345631021883
44230.234,43743.95,30923.66,-32872.867,57199.812,44999.94,44362.29,45454.082,11421.349624390205
44252.094,43757.54,31055.76,-32912.9,57183.785,44999.156,44376.125,45459.74,11421.353617758525
44208.688,43696.812,32045.115,-31370.695,57214.742,45018.78,44365.285,45462.777,11421.357611126847
44160.97,43646.832,32480.504,-30359.57,57252.766,45030.94,44343.895,45457.84,11421.361604495169
44173.73,43676.023,31738.54,-31394.008,57245.836,45016.77,44340.63,45450.44,11421.36559786349
44222.3,43736.285,30908.014,-32851.61,57207.95,44994.242,44355.67,45447.535,11421.369591231813
44244.004,43749.695,31029.004,-32903.02,57190.45,44992.34,44367.723,45451.312,11421.373584600135
44203.234,43691.895,32019.232,-31365.197,57223.125,45014.18,44359.117,45456.875,11421.377577968457
44156.633,43642.99,32471.184,-30339.678,57262.8,45028.016,44339.11,45454.04,11421.381571336779
44169.75,43672.38,31740.885,-31361.33,57256.81,45014.38,44336.383,45446.887,11421.3855647051
44221.562,43735.902,30914.43,-32843.207,57222.254,44994.645,44355.004,45446.93,11421.389558073422
44239.223,43745.293,31028.871,-32916.766,57200.1,44987.96,44363.473,45446.707,11421.393551441744
44197.156,43685.902,32013.732,-31392.22,57230.523,45007.383,44353.33,45449.88,11421.397544810066
44152.137,43638.293,32476.057,-30359.816,57272.188,45022.805,44335.066,45448.832,11421.401538178388
44165.1,43667.62,31748.73,-31371.367,57267.383,45009.91,44332.586,45442.37,11421.40553154671
44215.06,43729.6,30908.775,-32857.98,57230.59,44988.117,44348.855,45440.426,11421.409524915032
44237.746,43744.062,31013.201,-32948.617,57212.04,44985.254,44361.46,45444.473,11421.413518283354
44196.33,43684.832,32002.848,-31432.855,57241.79,45004.434,44351.18,45447.71,11421.417511651674
44147.02,43633.086,32471.586,-30375.082,57279.562,45016.367,44329.098,45442.348,11421.421505019996
44156.81,43659.418,31749.559,-31376.754,57271.832,45000.945,44323.375,45432.715,11421.425498388318
44208.664,43723.344,30901.533,-32851.945,57237.297,44981.523,44341.277,45432.758,11421.42949175664
44230.996,43737.96,31003.523,-32942.023,57218.03,44978.168,44353.484,45436.09,11421.433485124962
44188.08,43677.363,31989.951,-31429.033,57246.305,44996.32,44342.26,45438.145,11421.437478493284
44139.668,43626.09,32465.26,-30363.324,57285.508,45009.977,44321.297,45434.68,11421.441471861606
44151.156,43653.65,31754.7,-31349.863,57280.367,44996.855,44318.01,45427.953,11421.445465229928
44204.105,43718.805,30910.764,-32835.34,57247.043,44978.258,44337.434,45429.453,11421.44945859825
44227.82,43734.72,30995.79,-32948.395,57228.312,44975.53,44350.51,45434.01,11421.453451966572
44188.84,43678.01,31976.115,-31447.273,57259.56,44996.88,44342.934,45439.734,11421.457445334894
44140.336,43626.74,32459.025,-30373.049,57299.145,45010.625,44322.3,45436.38,11421.461438703216
44151.824,43654.14,31746.697,-31354.244,57294.25,44997.28,44319.082,45429.273,11421.465432071538
44203.57,43717.977,30888.121,-32853.58,57259.38,44977.05,44337.5,45428.938,11421.46942543986
44226.594,43733.6,30961.502,-32986.75,57239.086,44972.87,44349.863,45432.133,11421.473418808182
44186.18,43675.824,31943.303,-31498.793,57267.875,44991.895,44340.453,45435.8,11421.477412176504
44136.492,43623.05,32442.82,-30395.646,57306.832,45005.035,44319.062,45431.64,11421.481405544826
44149.95,43652.44,31736.482,-31367.455,57304.73,44994.62,44318.12,45427.195,11421.485398913146
44200.395,43715.273,30873.549,-32857.89,57267.965,44972.83,44334.598,45425.54,11421.489392281468
44224.11,43731.5,30943.42,-33007.938,57246.977,44968.336,44346.91,45428.6,11421.49338564979
44184.504,43674.28,31926.36,-31532.188,57275.72,44987.758,44337.613,45432.582,11421.497379018112
44137.117,43623.586,32433.477,-30411.023,57316.78,45003.18,44318.277,45431.016,11421.501372386434
44147.734,43650.254,31735.79,-31383.168,57312.734,44990.953,44315.215,45424.645,11421.505365754756
44197.715,43712.613,30873.928,-32884.87,57275.81,44968.805,44330.996,45422.32,11421.509359123078
44223.46,43731.055,30937.787,-33053.56,57255.83,44965.473,44345.594,45427.527,11421.5133524914
44184.06,43674.438,31914.246,-31601.969,57283.766,44984.36,44336.676,45431.754,11421.517345859722
44132.984,43619.945,32424.357,-30464.803,57321.16,44996.164,44313.676,45426.367,11421.521339228044
44143.4,43646.25,31733.309,-31419.824,57317.45,44983.8,44310.254,45419.93,11421.525332596366
44194.406,43709.508,30873.033,-32896.156,57281.664,44962.457,44327.688,45419.06,11421.529325964688
44220.223,43728.19,30927.55,-33068.152,57261.527,44958.812,44342.22,45423.84,11421.53331933301
44181.574,43672.246,31894.531,-31627.719,57289.668,44977.92,44334.035,45428.2,11421.537312701332
44133.43,43620.48,32411.17,-30490.059,57330.08,44992.633,44314.39,45425.81,11421.541306069654
44143.934,43646.453,31724.031,-31446.268,57326.594,44980.203,44310.88,45419.324,11421.545299437976
44195.277,43710.402,30855.443,-32920.098,57290.76,44958.926,44328.45,45418.59,11421.549292806296
44217.99,43726.07,30905.377,-33111.652,57266.31,44951.547,44339.51,45419.797,11421.553286174618
44180.926,43671.555,31875.555,-31686.549,57295.21,44972.0,44332.742,45425.562,11421.55727954294
44131.574,43618.668,32402.787,-30523.14,57335.11,44986.418,44311.773,45422.387,11421.561272911262
44143.29,43645.87,31716.389,-31470.562,57333.52,44976.07,44309.36,45417.426,11421.565266279584
44194.047,43709.26,30842.033,-32955.008,57296.527,44954.008,44325.633,45415.793,11421.569259647906
44220.38,43728.594,30888.457,-33166.973,57274.98,44950.008,44339.96,45420.11,11421.573253016228
44181.4,43672.312,31864.4,-31759.191,57301.87,44969.184,44331.914,45424.176,11421.57724638455
44133.05,43619.785,32400.887,-30586.932,57342.754,44985.098,44312.58,45422.344,11421.581239752872
44142.414,43644.887,31719.473,-31534.602,57339.02,44973.05,44308.355,45415.773,11421.585233121194
44195.88,43711.273,30841.361,-32989.656,57305.023,44954.434,44328.336,45417.27,11421.589226489516
44221.453,43729.938,30874.732,-33215.676,57281.016,44948.22,44341.434,45419.527,11421.593219857838
44184.125,43675.062,31832.281,-31839.635,57307.414,44966.973,44333.547,45423.574,11421.59721322616
44134.95,43622.0,32366.488,-30612.883,57347.78,44982.15,44313.363,45421.27,11421.601206594481
44145.055,43647.637,31700.898,-31523.873,57346.33,44972.0,44310.723,45416.22,11421.605199962803
44197.47,43713.305,30829.426,-32987.418,57311.996,44952.4,44330.28,45417.47,11421.609193331125
44223.73,43732.664,30860.674,-33215.34,57288.55,44946.43,44344.273,45421.203,11421.613186699446
44188.24,43679.31,31819.943,-31837.266,57316.133,44966.39,44338.15,45426.95,11421.617180067768
44137.832,43624.703,32366.71,-30593.861,57355.582,44980.383,44316.87,45423.594,11421.62117343609
44145.992,43648.242,31706.979,-31484.846,57353.48,44968.938,44312.668,45417.383,11421.625166804411
44196.418,43711.72,30827.615,-32967.684,57317.34,44947.258,44329.297,45416.04,11421.629160172733
44224.133,43732.93,30842.95,-33219.99,57294.316,44941.98,44343.246,45419.727,11421.633153541055
44187.344,43678.484,31794.709,-31858.857,57319.598,44959.996,44335.156,45423.33,11421.637146909377
44139.13,43625.777,32345.701,-30619.387,57361.24,44976.582,44316.156,45422.12,11421.6411402777
44149.367,43651.39,31693.521,-31520.676,57361.06,44967.777,44313.92,45418.098,11421.645133646021
44199.77,43715.004,30814.785,-33001.254,57324.2,44946.117,44330.082,45416.645,11421.649127014343
44227.71,43736.664,30831.572,-33265.566,57300.887,44941.11,44344.586,45420.62,11421.653120382665
44192.574,43684.047,31792.697,-31916.123,57327.688,44961.406,44339.246,45426.836,11421.657113750987
44142.953,43629.8,32360.564,-30652.22,57368.57,44977.7,44319.53,45425.36,11421.66110711931
44152.652,43654.633,31714.867,-31533.998,57368.86,44969.34,44317.05,45421.562,11421.665100487631
44203.367,43718.65,30826.03,-33013.84,57332.805,44948.375,44333.523,45420.51,11421.669093855953
44231.91,43740.71,30828.041,-33286.195,57309.516,44943.523,44348.008,45424.69,11421.673087224275
44195.637,43686.55,31780.85,-31944.69,57334.55,44962.098,44340.562,45429.004,11421.677080592595
44144.72,43631.008,32356.898,-30669.768,57374.715,44977.633,44319.934,45426.723,11421.681073960917
44152.07,43653.54,31724.256,-31529.996,57373.44,44967.22,44315.26,45420.668,11421.68506732924
44202.23,43717.22,30844.043,-32992.227,57338.15,44946.316,44332.137,45419.594,11421.689060697561
44229.566,43738.43,30840.713,-33265.34,57313.984,44940.195,44345.996,45422.746,11421.693054065883
44193.957,43685.164,31788.383,-31927.857,57339.133,44958.656,44339.42,45427.977,11421.697047434205
