X,Y,Z,timestamp
-0.444,0.37,0.79,11421.254044491568
-0.444,0.37,0.79,11421.258037857771
-0.444,0.37,0.79,11421.262031223976
-0.444,0.37,0.79,11421.26602459018
-0.444,0.37,0.79,11421.270017956385
-0.444,0.37,0.79,11421.274011322588
-0.444,0.37,0.79,11421.278004688793
-0.456,0.372,0.788,11421.281998054998
-0.456,0.372,0.788,11421.2859914212
-0.456,0.372,0.788,11421.289984787405
-0.456,0.372,0.788,11421.29397815361
-0.456,0.372,0.788,11421.297971519813
-0.456,0.372,0.788,11421.301964886017
-0.456,0.372,0.788,11421.305958252222
-0.456,0.372,0.788,11421.309951618425
-0.456,0.372,0.788,11421.31394498463
-0.456,0.372,0.788,11421.317938350834
-0.46,0.368,0.786,11421.321931717037
-0.46,0.368,0.786,11421.325925083242
-0.46,0.368,0.786,11421.329918449446
-0.46,0.368,0.786,11421.333911815651
-0.46,0.368,0.786,11421.337905181854
-0.46,0.368,0.786,11421.341898548058
-0.46,0.368,0.786,11421.345891914263
-0.46,0.368,0.786,11421.349885280466
-0.46,0.368,0.786,11421.35387864667
-0.46,0.368,0.786,11421.357872012875
-0.46,0.368,0.786,11421.361865379078
-0.46,0.362,0.782,11421.365858745283
-0.46,0.362,0.782,11421.369852111487
-0.46,0.362,0.782,11421.37384547769
-0.46,0.362,0.782,11421.377838843895
-0.46,0.362,0.782,11421.3818322101
-0.46,0.362,0.782,11421.385825576303
-0.46,0.362,0.782,11421.389818942507
-0.46,0.362,0.782,11421.393812308712
-0.46,0.362,0.782,11421.397805674917
-0.46,0.362,0.782,11421.40179904112
-0.454,0.368,0.786,11421.405792407324
-0.454,0.368,0.786,11421.409785773529
-0.454,0.368,0.786,11421.413779139732
-0.454,0.368,0.786,11421.417772505936
-0.454,0.368,0.786,11421.42176587214
-0.454,0.368,0.786,11421.425759238344
-0.454,0.368,0.786,11421.429752604548
-0.454,0.368,0.786,11421.433745970753
-0.454,0.368,0.786,11421.437739336956
-0.454,0.368,0.786,11421.44173270316
-0.452,0.372,0.778,11421.445726069365
-0.452,0.372,0.778,11421.449719435568
-0.452,0.372,0.778,11421.453712801773
-0.452,0.372,0.778,11421.457706167977
-0.452,0.372,0.778,11421.461699534182
-0.452,0.372,0.778,11421.465692900385
-0.452,0.372,0.778,11421.46968626659
-0.452,0.372,0.778,11421.473679632794
-0.452,0.372,0.778,11421.477672998997
-0.452,0.372,0.778,11421.481666365202
-0.452,0.374,0.774,11421.485659731406
-0.452,0.374,0.774,11421.48965309761
-0.452,0.374,0.774,11421.493646463814
-0.452,0.374,0.774,11421.497639830019
-0.452,0.374,0.774,11421.501633196222
-0.452,0.374,0.774,11421.505626562426
-0.452,0.374,0.774,11421.50961992863
-0.452,0.374,0.774,11421.513613294834
-0.452,0.374,0.774,11421.517606661038
-0.452,0.374,0.774,11421.521600027243
-0.454,0.378,0.782,11421.525593393448
-0.454,0.378,0.782,11421.52958675965
-0.454,0.378,0.782,11421.533580125855
-0.454,0.378,0.782,11421.53757349206
-0.454,0.378,0.782,11421.541566858263
-0.454,0.378,0.782,11421.545560224467
-0.454,0.378,0.782,11421.549553590672
-0.454,0.378,0.782,11421.553546956875
-0.454,0.378,0.782,11421.55754032308
-0.454,0.378,0.782,11421.561533689284
-0.458,0.374,0.788,11421.565527055487
-0.458,0.374,0.788,11421.569520421692
-0.458,0.374,0.788,11421.573513787896
-0.458,0.374,0.788,11421.577507154101
-0.458,0.374,0.788,11421.581500520304
-0.458,0.374,0.788,11421.585493886509
-0.458,0.374,0.788,11421.589487252713
-0.458,0.374,0.788,11421.593480618916
-0.458,0.374,0.788,11421.59747398512
-0.458,0.374,0.788,11421.601467351325
-0.454,0.37,0.786,11421.605460717528
